Integration Type,Language,Sentiment,Categories,Text
zomato,por,1,experience;food;service,"Provei o hamburger vegetariano Ba ba lu. Gostei muito do hamburguer, e gostei do tempero das batatas e do molho das mesmas. A dose enche bastante, o ambiente é bom, o staff simpático."
zomato,por,1,service;consistency;food,"Domingo à noite e já fora de horas, sem jantar planeado acabámos num dos clássicos: o ponto de partida da Portugália. Se a chegada próxima da hora de fecho sugeria um serviço desleixado, o Sr. Luís Marques certificou-se do contrário e, parafraseando o próprio, cumpriu a sua missão de sairmos mais satisfeitos do que entrámos. Aceitámos a sugestão e optámos pelo pica pau. Não desiludiu. Mesmo a más horas mantiveram o serviço personalizado e a qualidade que os caracteriza."
zomato,por,1,experience;food;service,"Atendimento prestável, simpático e rápido. Relativamente à ementa, dado que é a Portugália Original sem dúvida que vale a pena experimentar o que quer que seja com o “molho Portugalia”"
zomato,por,-1,experience;food;service,"O ambiente é agradavel, a comida é boa mas não surpreende. Ponto negativo para o serviço que conseguiu esquecer um dos pratos pedidos e deixou-nos sem vontade de querer experimentar a sobremesa."
zomato,por,-1,experience;reputation,"A comida é boa, mas acabas a experiência com a sensação de ter pago um preço extremamente elevado pela ""experiência"". Todo o menu e at..."
zomato,por,-1,experience;service;food;reputation,"Comida fraca e atendimento péssimo. Muito tempo de espera para tão fraca qualidade de comida e serviço.  Funcionários muito antipáticos. Como se estivessem a fazer um favor.  Não recomendo, de todo!"
zomato,por,1,experience;food;consistency;service;value,"Sem dúvida das melhores hamburguerias no que toca relação qualidade preço! Frequentamos o espaço habitualmente e nunca desilude. Recomendamos o Camone e o Caco, dos melhores da lista (na nossa opinião hehe). O bolo do caco com manteiga de alho de entrada também nunca falha. Óptimo para uma refeição rápida, em 10/15 minutos a comida é servida."
zomato,por,-1,experience,"Os hambúrgueres vegetarianos são cozinhados no mesmo grelhador que os de carne, e foi usada a mesma espátula para todos eles. Se é vegetariano a partida não se mistura com o que não é vegetariano."
zomato,por,-1,service;value;consistency,"Staff simpático, decoração original. Os preços têm vindo a aumentar, mas a qualidade tem vindo a diminuir, o que infelizmente acontece cada vez mais vezes com estes espaços."
zomato,por,1,food;service,O h3 no Colombo tem bastante afluência. A ganhar cada vez mais adeptos por apresentar várias opções mais saudáveis que hambúrguer no pão e ao mesmo tempp oferecer um serviço rápido. Sou fã das batatas da h3 e do hambúrguer tuga.
zomato,por,1,experience;service;environment,"Se for ao jantar é preciso ter um bocado paciência para aguardar pela mesa, é um sitio giro e a comida é boa mas acho pequeno para a quantidade de pessoas que lá vão. As batatas fritas são maravilhosas, pena ter reformulado a ementa e terem tirado o hambúrguer de tofu."
zomato,eng,1,experience;food;convenience;environment,Especially love their raviolis with the mushroom sauce! It is amazing! Als the location in príncipe real is brilliant as they have a great garden (which you would never expect from the outside)
zomato,por,1,experience;food;service,"Espaço bem decorado, com uma zona exterior bastante agradável. A comida é boa, mas ganham os cocktails. A carta de vinhos tem uma boa seleção de vinhos italianos. O atendimento por vezes não é o mais correto, justificável pela agitação de uma sexta ou sábado à noite."
zomato,por,1,service;convenience;experience;environment;value,"Pizza razoável! Lugar privilegiado, jardim lindo. Atendimento razoável nada de simpático ou atencioso. Não é das pizzarias mais baratas, mas o sítio em que está localizado deve justificar."
zomato,por,1,experience;service;value,"Gostei! Os pratos são simples mas muito bem feitos. As doses são razoáveis e vêm com bons acompanhamentos. Quanto ao ambiente, não se pode dizer muito pois é partilhado com os outros restaurantes do Colombo. O serviço é rápido e simpático."
zomato,por,-1,experience;consistency;value,"Pedi um Caril Thai de frango, como de costume, e veio uma tigela cheia de molho, mais de metade desta tigela cheia de arroz e apenas 4 fatias de frango. No fundo, junto com a imensa quantidade de molho, estavam os legumes. Comi as fatias de frango e um pouco do arroz. É, de certeza, um prato a não repetir."
zomato,por,0,experience;service,"De um modo geral é realmente muito bom. A qualidade da carne, o arroz... mas nas entregas através da app simplesmente entregam as sobremesas congeladas ao cliente. Quando contactado atraves das redes sociais nem respota dão."
zomato,por,-1,service;value,"Qualidade de serviço muito fraca. Falta de organização na cozinha. Fiz o pedido em conjunto com o meu namorado, recebi logo o meu prato mas tivemos 15 minutos à espera do 2 prato só porque ele pediu médio-mal passado. Ainda tiveram a lata de servir dois clientes os seus pratos antes de nos servirem a nós. A empregada do balcão respondeu-nos de forma rude e o meu prato acabou por ficar frio e o dele nem veio menos passado que o meu que era médio. As batatas estavam super gordurosas e moles e serviram-nos doses relativamente pequenas de arroz."
zomato,por,1,experience;value,"Fui ao Jamie's Italian num sábado à noite. O atendimento pareceu-me um bocado a despachar, mas em contrapartida os ravioli com porcini que pedi estavam divinais, à semelhança da sobremesa, que é deliciosa. Só o ultimate garlic bread deixou um pouco a desejar."
zomato,por,1,experience;value;reputation;food;consistency,Sempre um clássico como já nos habituou a qualidade dos restaurantes portugalia. As doses podiam ser mais generosas. A cerveja sempre fresca e a carne tenra. Tudo o que se pode pedir de uma Portugalia. A ir caso se esteja perto
zomato,por,1,experience;value;food;environment,Restaurante com ótima qualidade preço. Pedi para levar porque queria comer ao sol (inconveniente não ter esplanada)  Empregados muito atenciosos Aconselho vivamente o Camone e limonada!
zomato,por,1,experience;convenience;value;environment,"Localização é optima, assim como o ambiente. As pizzas são boas, mas os preços muito altos, visto que independentemente de tudo, continuam sendo pizzas."
zomato,por,0,service;food,Visitei o Tapisco num jantar de amigos. Fomos bem recebidos e optamos por partilhar alguns pratos da carta. Comida saborosa no entanto serviço um pouco demorado.
zomato,por,1,experience;service;food,"Já fui 2 vezes a este restaurante e achei a comida óptima! Da primeira vez pedi a Pizza Diavola e estava fantástica! Da segunda vez, fui a um aniversário e pedi uma salada pois estava a fazer uma dieta restritiva na altura e, apesar da salada estar óptima, achei uma grande falta de flexibilidade por parte da cozinha e do staff. Inclusive, quando a salada chegou o empregado disse “foi a senhora que pediu uma salada quase sem nada?!?”. Fiquei um pouco perplexa, pois alem de apenas não ter pedido queijo e bacon, acho q não há necessidade deste tipo de comentário e o que interessa é o cliente estar satisfeito."
zomato,por,1,experience;food;service;value,"Esta foi a primeira casa Portugália que conheci, e continua a ser a que mais gosto de voltar. Sempre fui fã dos seus bifes e especialmente do seu molho que são por norma fantásticos. Desta vez tentei provar algo diferente e não me arrependi. A açorda de camarão estava fantástica e as ameijoas à bulhão pato também. Não foi o serviço mais rápido (que se justifica pela casa cheia) e quanto ao custo médio podia ser um pouco mais baixo, porém a experiência de uma forma geral foi bastante positiva."
zomato,por,-1,experience;service;value,"Jantar a 2 num restaurante que tem sido falado por bons motivos, no entanto foi algo dececionante. O espaço é acolhedor e moderno mas com as pessoas sentadas quase umas em cima das outras. E não havia necessidade se houvesse disponibilidade do Stags em possibilitar o acesso a outra sala, uma vez que o restaurante até é grande. Tive oportunidade de experimentar uma pizza é uma massa. As pizzas são cozidas a lenha, mas não deslumbram nem pelo preço, pelo contrário. A massa estava boa e os ingredientes eram excelentes(esparguete com camarões). Os sumos não alcoólicos aconselha-se. O serviço é lento e algo desorganizado. Nesta gama de preços espera-se e exige-se mais."
zomato,por,1,experience;value;food,Pizzas com bons ingredientes e sabores muito variados. Não são as pizzas de massa alta como em Nápoles mas são deliciosas à mesma! O preço é um puxado
zomato,por,1,experience;environment;service,"Gostei muito do espaço, tinha um bom ambiente e uma decoração fantástica. Pedimos a pizza Prosciutto Arrosto e Funghi e o calzoni clássico. Ambos estavam uma delícia. Foi uma pena não terem sangria, mas também já visitamos o restaurante um pouco tarde próximo da hora de fecho. Os funcionários eram bastante acessíveis. Sem dúvida que recomendo."
zomato,por,1,experience;consistency;food;service;environment,"A paella do Tapisco é bastante diferente das paellas espanholas a que estamos acostumados, principalmente por o arroz ser diferente, contudo, tem uma excelente qualidade e um marisco 5 estrelas, sendo uma excelente opção a apostar para quem gosta de comer bem e com qualidade. O espaço é giro e o atendimento bastante simpático, recomendo :)"
zomato,por,1,convenience;food,"Depois de 45 minutos de espera, conseguimos ter uma mesa no restaurante. As entradas estavam muito saborasos. O pato pequim estava bom e a sopa de caril amarelo estava perfeita."
zomato,por,-1,food,"Todos falam tão bem deste restaurante, que tive que experimentar. Não sei se não pedi os pratos certos, mas não fiquei realmente surpreendida com nada. Quero voltar outra vez para obter a experiência incrível que já ouvi várias pessoas a dizer que tiveram."
zomato,por,1,service;environment;experience;food;reputation,Talvez o meu restaurante de eleição. O atendimento é incrível e para a comida não há palavras para descreve-la. Desde as entradas as sobremesas. O staff é muito atencioso. O ambiente é incrível. Um verdadeira viagem à Ásia. Obrigada!
zomato,por,-1,service;experience,"Começando pela recepção até ao final foi uma enorme desilusão. Na recepção a hostess começou logo por dizer de forma muito pouco simpática “temos mesa na esplanada mas se chover não repomos nem comida nem bebida” . Massa das pizzas banal, pizza de presente e figo enjoativa, pizza trufa sem sabor, carbonara a saber demasiado a ovo, Margarita com molho de tomate sem sabor. Serviço pouco simpático. Uma enorme desilusão."
zomato,por,1,food,"O melhor restaurante asiático de Lisboa! O prato que todos devem pedir é o excelente Caril de Frango com molho de coco ou o Pad Thai de camarão tigre. Sempre que visitou o Boa Bao fico feliz, e super satisfeita!"
zomato,por,-1,service;reputation,"Provavelmente uma das piores experiências num restaurante que tive. Esperamos mais de uma hora na rua para ter uma mesa (apesar da previsão de 20min que nos foi dada). Sentamo-nos e quando começamos a escolher deparamo-nos com algumas dúvidas sobre o nome de alguns ingredientes e pedimos ajuda à empregada que nos estava a atender e que não nos soube responder a nada, não conhecia nem as pizzas e muito menos os ingredientes que estas continham para nos conseguir ajudar. A cada questão tinha de correr à cozinha para perguntar ao chefe. Pedimos então de 4 pizzas duas com menos um ingrediente cada (enchidos, neste caso) . O pedido foi para a cozinha e uns minutos depois a empregada retorna a dizer que se tinha enganado e que afinal os ingredientes não eram o que nos tinha dito no primeiro instante, confirmamos o que queriamos uma vez mais, focando na parte de que não queriamos enchidos e reforçamos a pergunta se não teria, o que nos foi dito que não, eram apenas aqueles ingredientes em específico. As pizzas vieram e, uma delas, com o dito enchido que tinha sido pedido para retirar, tivemos de voltar a chamar a empregada e pedir que a pizza fosse trocada e voltamos a referir que era uma pizza exactamente igual sem os enchidos. Desta vez retorna outro empregado à nossa mesa a dizer que se não queriamos enchidos teriamos de ser obrigados a pedir uma pizza vegetariana. Achamos hilariante e voltamos a reforçar que queríamos apenas a pizza sem o ingrediante específico que era o enchido. A pizza chegou finalmente , quando a restantes pessoas estavam quase a terminar as suas, e quando achamos que seria esta que viria decente, o ragu  que a pizza continha vinha frio (a pizza em questao era uma calzone Franschini). Comemos a pizza mesmo assim cansados do mau atendimento, da espera, de um pedido simples como tirar um ingrediante. O mais inadmissível aqui é que estamos a falar de uma pizza com um custo de 19 euros, não é um preço nem barato nem médio e deveria servir para ter uma pizza de topo. Pedimos as sobremesa, que salvaram o jantar, uma vez que duas das pizzas eram apenas razoáveis e uma tinha conteúdo frio. Pedimos por final a conta e procedemos ao pagamento achando que seria impossível esta experiência piorar, mas a verdade é que foi possível. Perguntamos se era possível dividir a fatura, visto que eramos dois casais, e pedimos que fossem passadas duas faturas com NIFs distintos. Foi-nos dito que sim e apontados os NIFs. O cúmulo foi mesmo que retornou uma fatura sem qualquer NIF. Voltamos a reforçar que queríamos as faturas e a empregada apenas nos disse que agora já nada podia fazer, a conta já tinha sido fechada. Apenas não insitimos mais cansados de tão mau serviço e tamanha incompetência, mas o que deveriamos mesmo ter feito era uma reclamação local no livro de reclamações. Toda esta situação é inadmissível e impensável, num restaurante com tanta fama, tão bem cotado e que ansiavamos experimentar e que, sem dúvida, não recomendaremos a ninguém, muito pelo contrário."
zomato,por,1,food,"Situado numa das minhas zonas preferidas de Lisboa, este estaminé tem uma oferta diversa mas não excessiva (desconfio sempre de pratos a mais) de petiscos deliciosos, de que terei de destacar a salada de polvo e um dos melhores chocos fritos que o meu pato já provou."
zomato,por,1,food;value;environment,"Relativamente a qualidade e sabor da comida achei boa, mas o som ambiente é desadequado e com um volume exagerado para o tipo de restaurante de comida Asiática."
zomato,por,1,environment,"A Zero Zero iniciou a nova vaga de pizzarias em Lisboa e continua a liderar o leque de estabelecimentos da especialidade. Desta feita visitei o espaço do Príncipe Real e adorei o ambiente. A área exterior é bem mais charmosa do que a interior com trepadeiras típicas dos vilarejos italianos. Optámos por comer uma burrata e a pizza de tartufo e pecorino. Não sou grande fã de trufa negra mas soube-me muito bem. A minha perdição é a trufa branca, o óleo da trufa e espero que um dia possam fazer uma pizza especial com esta iguaria. Experimentei pela primeira vez o badalado Aperol Spritz mas não fiquei fã. Aconselho a visita, o Zero a Zero é uma óptima opção, sempre!!!!"
zomato,por,1,food;environment,"Este restaurante é muito espaçoso e agradável tanto dentro como na esplanada. Gostaria que a pizza de cogumelos tivesse mais sabor e temperos, achei muito banal. Achei as pizzas demasiado grandes."
zomato,eng,0,experience;convenience;environment;service;value,It's located in a nice place. The restaurant has nice decorations and staff is polite. My major reason for giving 2 stars is that I was disappointed by the price versus the food quality. The price of a pizza is too expensive and not that great for the price. In the price range I have better options.
zomato,por,1,food;environment,"Consistência é o que se procura quando visitamos a Padaria Portuguesa, os menus que já conhecemos, os produtos de padaria que conhecemos. Esta esplanada é muito bem aproveitada nesta localização, óptimo para um lanche numa tarde de verão."
zomato,por,1,food;environment,"Mais uma Padaria Portuguesa, que tem uma localização muito boa, uma vez que se coloca numa zona de muita movimentação empresarial/ laboral, mas também turística. Tem a mesma qualidade das demais e embora o espaço possa ter uma decoração mais simplista, é perfeitamente compensada pela esplanada e serviço simpático."
zomato,por,1,food;environment,Conceito totalmente diferente das outras Padarias que existem. A montra tem uma variedade de bolos enorme e agora têm refeições simples e saudáveis. Recomendo
zomato,por,1,food,"Um espaço giríssimo e muito bem adornado no Príncipe Real. Já conquistou o coração e o estômago desta Portuense 😅. Pedi a penne com molho de tomate e estava deliciosa! A sobremesa, um mil folhas recheado de caramelo salgado acompanhado de um gelado e um crocante de pistacho, era de comer e de chorar por mais! As pizzas também estavam soberbas e os cocktails não desiludiram. Recomendo 👌👏"
zomato,por,1,food;value,"O menu pequeno-almoço é bastante em conta e aceitável para a qualidade oferecida. Optei pelo brioche misto, sumo de manga/laranja e o café. O pão de deus também é delicioso. Tudo por 2.75€ 👌"
zomato,por,1,environment,"De salientar o espaço que é super giro, principalmente a parte exterior!  O staff simpático! Quanto ao mais importante... experimentámos as pizzas e eram saborosas mas nada de extraordinário.  Vale a pena visitar pelo espaço."
zomato,eng,-1,consistency,"When you think about eating healthy and good in a nice Place, Amélia could be a good suggestion. In general the brunch was good, the atmosphere was pleasant and the waiters were kind.   Regarding the food the only things we can suggest is adding a bit of lemon to the avocado toast to give it a zesty touch that combines perfectly with the salty fluffiness of the bread and the creamy avocado.   We loved the crunchiness of the bread on the outside and when you bite it you can taste and feel how fresh it it. The pancakes could be a bit less crunchy on the outside because when it starts getting cold and you mix it with the maple syrup can be difficult to cut and eat, however the taste is amazing.   The granola with fruits was really good but if they add a bit less of cinnamon, you can taste better the rest of the ingredients.   In general terms we totally recommend it for small groups and couple but as a lot of families go there with kids, it could a bit uncomfortable if you wanna have a chill Sunday brunch.   Thank you guys for the great service you offer us today! 😁"
zomato,por,-1,service,"Óptimo ambiente e decoração. Apesar do tempo de espera, vale a pena. Desde as entradas, prato e à  sobremesa."
tripadvisor,eng,1,food;environment,"Love this place for lunch! With newly added seating areas (including couches and Adirondack chairs), there are also high tables on the patio and also sheltered indoor seating, making finding a comfortable place pretty easy! The food is casual but good. There is a good beer selection.It's a great place to hit a bucket of balls (or not), relax, and enjoy lunch and a cold one!"
tripadvisor,eng,-1,reputation;food,"This restaurant is just off Oxford Street close to Selfridges. The menu has all the classic dishes. The olives as an appetiser were good, but i wouldnt recommend the crescenti- they seemed no more than small pieces of pizza dough to me. The veal with spaghetti was bland, the veal a bit dry perhaps because it was very thin. The lasagne was a large portion and piping hot which makes a pleasant change because so often it is not heated through properly. All in all not a memorable meal."
tripadvisor,eng,-1,food;consistency,"We went again to the Spaghetti house after a year from our first visits (a very good experience last May) and while bolognese was good and a decent quality, my pasta with clams and seafood was absolutely row, not cooked at all. I could have sensed a chef changing as the taste was not as same as lat year. A shame really, I like good quality Italian food but I think the next time we will try to look for a different place."
tripadvisor,eng,1,consistency;experience;food;service,"Just round the corner from the Palladium, we had booked an early pre-gig dinner at one of our favourite restaurants, which is family owned.This brance is smaller but the service was as good and the food nice. An attentive team and great fresh food is a winning combination!"
tripadvisor,fra,-1,service,"Une arrivée très froide, on s’est tout de suite demandée si c’était une bonne idée de venir ici mais bon on s’est dit qu’on allait tenter. Le serveur (sûrement le directeur) se montre impatient et très froid, il nous a demandé plusieurs fois si on avait choisis et nous avons à peine eu le temps de répondre qu’il était déjà partis. Le seul point positif est la petite serveuse qui est venue pour prendre nos entrée et apéritifs. Sinon on est tout de suite repartis à Coffee Concerto un peu plus haut et clairement on voit la différence ! "
tripadvisor,eng,1,experience;food,"I've been for lunch with my family,  we had veal with lemon and it was really good, very tasty. chicken Caesar salad was good, too"
tripadvisor,swe,1,experience;food,"Panini Internazionale serverar färdiga sallad tillverkade i butiken på morgonen. Mycket fräscht och gott. Dressing, bröd och vatten ingår i priset. Överbliven mat i slutet på dagen, ifall det är någon, skickas till stadsmissionen. Bra initiativ."
tripadvisor,eng,1,experience;food;service;value;reputation,"Looking for somewhere to eat prior to a show at the London Palladium, we stumbled across this gem of a restaurant. Altough very busy, the staff quickly found us a table even though we had not booked. We chose the 3 course set menu and each course was superb. in fact the pasta I had was the best I have ever tasted. This is a very busy family run restaurant so I think booking would be a good option. Without doubt, a jewel in the crown, fabulous food, fabulous staff, brilliant."
tripadvisor,nld,1,value;environment;food,"Leuk interieur. Mijn caesersalade was lekker en veel. Wel wat lastig om op te eten, kom wat te klein. Lekkere frites, vol au vent en kipfilet ook goed. Rekening loopt wel op doordat alles apart moet bijbetaald worden. Maar t was lekker!"
tripadvisor,fra,1,experience;food;service;value,"on a découvert se restaurant par hasard et quelle bonne surprise !!les plats sont tres bon , le personnel est top et les prix très correct !!on y est allé meme deux fois pendant notre séjour !je recommande vraiment"
tripadvisor,eng,0,experience;food,Stopped by here for lunch on a Sunday. We were seated quick though it felt like the table shouldn’t have been there. It was like we were squashed in. Served quick we ordered minestrone soup to start which was really lacking flavour just tasted like veg in water. I ordered arrabiata which was lovely very rich. My husband had the lasagna which was also lovely. All in all it’s a nice place but perhaps avoid the soup. 
tripadvisor,nld,1,environment;service;food,"Beste kip die ik ooit gegeten heb! Heel vriendelijk personeel, ook zeer attent, er hangt een fijne sfeer. Prachtig interieur tot in het detail. Zeer grote aanrader!"
tripadvisor,eng,1,food;service,"We visited here after a night at Phantom of the Opera so it was quite late on. We sat at our table ordered our food and drink and moments later our drinks arrived, I'm sorry to say the gin and tonic didn't taste too good and I can only guess it was watered down or something else suspicious, now I know I should have complained but as I said it was late and I couldn't be bothered. Shortly after our food arrived and it was really nice, it tasted fresh and was really well flavoured but because of the drinks we decided to not have desert or another drink and just paid the bill and just left. Now I don't want to be harsh because I realise the owner may not know he has a bad bottle of gin and me not complaining at the time doesn't help, but the food was tasty and the waitress was really pleasant."
tripadvisor,nld,-1,environment,"De ambiance nodigt uit om te lunchen.Het personeel negeert bezoekers, het personeel zegt tegen de gast, wat een herrie hier hè!We moesten vragen om iets te mogen bestellen.Het eten was op het bord gekwakt.Jammer van het geheel."
tripadvisor,eng,1,experience;food;service;value;reputation,"So just had a couple of hours to kill in London after the Six Nations, and my son decided that spaghetti was the way forward. We were seated quickly with no reservation, despite the restaurant being busy. Order taken quickly, and the food presented quickly. The staff were spot on, and the prices exactly worth what we paid. The food itself was delicious, and authentic. Will visit this chain again for sure."
tripadvisor,eng,1,experience;environment;reputation,I wanted to try it. I see them everywhere. The ambiance is adorable. The food is ordinary. Kinda tastes like the pasta I make at home. 
tripadvisor,nld,1,environment;service;food,"Heel gastvrij, behulpzaam en zeer lekker eten! Bedankt voor een perfect diner! Jullie hebben een echte indruk achtergelaten bij onze uitwisselings studenten!"
tripadvisor,nld,-1,service,"Met moeder en zus een weekend Gent.Na het shoppen ergens een hapje eten dus na even wandelen ‘Croqino’s’ binnengewandeld.Achter de bar staat een jonge man die met een andere man (vaste gast?) aan het praten is.. wij wachten op reactie maar worden volledig genegeerd. Uiteindelijk contact na braaf wachten..we vroegen om een tafel voor 3 personen. We werden naar achterin de zaak gewezen. Daar enige tijd gezeten... geen contact.. (U heeft ons toch net zelf naar achteren gewezen?!) Na lang wachten nog steeds niemand die ons komt vragen wat we willen drinken of eten.De jonge man staat nog steeds niet veel te doen achter de bar.. (Het was niet druk)Uiteindelijk opgestaan en jas aangetrokken. De jonge man ziet ons maar negeert ons wederom volledig. Ziet ons vertrekken maar kijkt niet op. Wij stappen absoluut niet snel op in een restaurant, maar op deze manier wil je niet behandeld worden. Werkelijk te asociaal voor woorden."
tripadvisor,deu,-1,food;service;experience,"Essen war soweit ok, Service ungenügend, um Käse und Rechnung musste ich - obwohl nur wenig Leute - insgesamt 6 Mal (!) nachfragen, auch Freundlichkeit hat grosses Potenzial "
tripadvisor,nld,1,food;service,Zeer lekkere burgers tegen een toptempo aan tafel gebracht! Chapeau voor de keuken. De bediening liet wel veel steekjes vallen door verkeerde bestellingen te brengen aan andere tafels.
tripadvisor,nld,1,food;service;environment,"Lekker eten , de prijs is behoorlijk maar niet goedkoop . Vriendelijke bediening en zeer mooie locatie"
tripadvisor,fra,1,value;environment;service,Superbe decouverte . On y est allés pour le repas de midi. Très bon. Super qualité prix et le service est vrai sympa.
tripadvisor,eng,1,food;service;reputation,"We had three different burgers and all of them were very nice. Good quality, a lot to choose and the service was great. A place I recommend!"
tripadvisor,eng,-1,experience;service;food,"I wrote an email to the Spaghetti House on 23rd February, complaining about the quality of the food at the Bryanton branch of Spaghetti House. I have had no reply...Unfortunately, the food lacked generosity and was poorly cooked - greasy and not well flavoured, so I can’t recommend this branch (unlike the Goodge Street branch the previous week). The serving staff, however, were pleasant but the restaurant was v quiet - maybe an indication of the food?To conclude: if I take the trouble to write to a company, I expect a reply!"
tripadvisor,fra,1,food;reputation,"L’un des meilleurs burgers que nous avons jamais mangé ! Original, copieux et excellent ! On recommande sans hésiter !"
tripadvisor,fra,1,environment;reputation;food,"Envie de Burgers un dimanche soir avec possibilité végétarien et hop! On a choisi ce resto sympa, sourires à l'accueil et burgers supers"
tripadvisor,nld,0,service;food;environment,"Samen met 2 vriendinnen ben ik op een dinsdagavond hier gaan eten. Personeel was vriendelijk, maar niet oplettend. Tijdens ons bezoek is een groepje jongens toegekomen, maar zijn ze uiteindelijk vertrokken omdat er niemand hun order kwam opnemen. Bij ons waren ze wel snel, maar ze waren niet op de hoogte van de ingrediënten van hun burgers. @Jilles mocht je dit lezen: als je van alle burgers een allergielijst kan toevoegen, neem dan ook die van het slaatje met saus op.Interieur is echt super, maar als je begon rond te kijken zag je toch in de hoeken enkele spinnenwebben.Burgers waren zeer lekker van smaak, maar het vlees zelf was zeer uitgedroogd. Alsof je ze zou opwarmen in de microgolf (je kent het wel: zo'n droog korstje). Dit terzijde valt de prijs van de burgers mee (startprijs rond 15 euro tot 19 euro), het drinken daarentegen... Als water al evenveel kost als een alcoholisch bier... (maar liefst 3,5 euro voor water). De onion rings zijn trouwens een van de betere die ik al heb gegeten, maar wel zeer vettig. Borden hebben duidelijk ook hun beste tijd gehad; van de 3 borden die wij kregen was er uit elk bord 3-4 stukken. En geen klein stukje, nee een stukken van 2cm. Als het lukt, reserveer dan niet om half 9. Het restaurant sluit om 9u en dan komen zo ook rond om dit te zeggen zeggen. Snel eten is de boodschap dan!"
tripadvisor,eng,1,experience;food;service,"We turned up at Middletons for a work meal out, our original venue having cancelled at short notice. Despite being a large party of 15+, we received excellent service from our waitress Kayleigh and all the kitchen staff and had a thoroughly enjoyable evening."
tripadvisor,eng,0,experience;service;environment;food,"Ate here for Sunday lunch a few weeks back, food was great.Decent service though they appeared to be a little stretched at times.Biggest down point was the draft from the front door every time another customer arrived.Will be back but will ask to sit away from that side of the restaurant! "
tripadvisor,eng,1,experience;food;environment,"Popped in today , nice feel to the place . Great big heavy Door to open to get in .  Nice buzz in the resteraunt . Me & the mrs had the meal deal 3 course nice ribs and steak baguettes 🥖 and fries . Desert sticky toffee and ice cream . £9.99 each and a peroni each very nice and will go back . "
